"","fips","name","state","needle_count","needle_binary"
"602","55063","La Crosse","Wisconsin",1,TRUE
"603","55069","Lincoln","Wisconsin",0,FALSE
"604","55073","Marathon","Wisconsin",1,TRUE
"605","55081","Monroe","Wisconsin",0,FALSE
"606","55095","Polk","Wisconsin",0,FALSE
"607","55103","Richland","Wisconsin",0,FALSE
"608","55115","Shawano","Wisconsin",0,FALSE
"609","55129","Washburn","Wisconsin",0,FALSE
"610","55141","Wood","Wisconsin",0,FALSE
"611","56025","Natrona","Wyoming",0,FALSE
"612","56031","Platte","Wyoming",0,FALSE
"613","56033","Sheridan","Wyoming",0,FALSE
"614","56045","Weston","Wyoming",0,FALSE
"615","53041","Lewis","Washington",1,TRUE
"616","53045","Mason","Washington",0,FALSE
"617","53065","Stevens","Washington",1,TRUE
"618","54001","Barbour","West Virginia",0,FALSE
"619","54007","Braxton","West Virginia",0,FALSE
"620","54013","Calhoun","West Virginia",0,FALSE
"621","54021","Gilmer","West Virginia",0,FALSE
"622","54039","Kanawha","West Virginia",1,TRUE
"623","54049","Marion","West Virginia",0,FALSE
"624","54061","Monongalia","West Virginia",1,TRUE
"625","54079","Putnam","West Virginia",0,FALSE
"626","54089","Summers","West Virginia",0,FALSE
"627","54101","Webster","West Virginia",1,TRUE
"628","55003","Ashland","Wisconsin",1,TRUE
"629","55005","Barron","Wisconsin",0,FALSE
"630","55007","Bayfield","Wisconsin",0,FALSE
"631","55017","Chippewa","Wisconsin",0,FALSE
"632","55025","Dane","Wisconsin",2,TRUE
"633","49029","Morgan","Utah",0,FALSE
"634","49031","Piute","Utah",0,FALSE
"635","49035","Salt Lake","Utah",4,TRUE
"636","49051","Wasatch","Utah",0,FALSE
"637","50005","Caledonia","Vermont",1,TRUE
"638","50019","Orleans","Vermont",0,FALSE
"639","51007","Amelia","Virginia",0,FALSE
"640","51017","Bath","Virginia",0,FALSE
"641","51029","Buckingham","Virginia",0,FALSE
"642","51043","Clarke","Virginia",0,FALSE
"643","51047","Culpeper","Virginia",0,FALSE
"644","51063","Floyd","Virginia",0,FALSE
"645","51075","Goochland","Virginia",0,FALSE
"646","51101","King William","Virginia",0,FALSE
"647","51111","Lunenburg","Virginia",0,FALSE
"648","51113","Madison","Virginia",0,FALSE
"649","01023","Choctaw","Alabama",0,FALSE
"650","01025","Clarke","Alabama",0,FALSE
"651","01029","Cleburne","Alabama",0,FALSE
"652","01031","Coffee","Alabama",0,FALSE
"653","01037","Coosa","Alabama",0,FALSE
"654","01047","Dallas","Alabama",0,FALSE
"655","01055","Etowah","Alabama",0,FALSE
"656","01059","Franklin","Alabama",0,FALSE
"657","01061","Geneva","Alabama",0,FALSE
"658","01067","Henry","Alabama",0,FALSE
"659","01071","Jackson","Alabama",0,FALSE
"660","01081","Lee","Alabama",0,FALSE
"661","01085","Lowndes","Alabama",0,FALSE
"662","01087","Macon","Alabama",0,FALSE
"663","01089","Madison","Alabama",0,FALSE
"664","05143","Washington","Arkansas",0,FALSE
"665","05147","Woodruff","Arkansas",0,FALSE
"666","06003","Alpine","California",0,FALSE
"667","06007","Butte","California",1,TRUE
"668","01093","Marion","Alabama",0,FALSE
"669","01095","Marshall","Alabama",0,FALSE
"670","01097","Mobile","Alabama",1,TRUE
"671","01101","Montgomery","Alabama",0,FALSE
"672","01117","Shelby","Alabama",0,FALSE
"673","01119","Sumter","Alabama",0,FALSE
"674","01125","Tuscaloosa","Alabama",0,FALSE
"675","01131","Wilcox","Alabama",0,FALSE
"676","01007","Bibb","Alabama",0,FALSE
"677","01011","Bullock","Alabama",0,FALSE
"678","01015","Calhoun","Alabama",0,FALSE
"679","06045","Mendocino","California",1,TRUE
"680","06049","Modoc","California",0,FALSE
"681","06051","Mono","California",0,FALSE
"682","06057","Nevada","California",0,FALSE
"683","06059","Orange","California",1,TRUE
"684","06065","Riverside","California",0,FALSE
"685","06069","San Benito","California",0,FALSE
"686","06073","San Diego","California",0,FALSE
"687","06075","San Francisco","California",5,TRUE
"688","06113","Yolo","California",0,FALSE
"689","08001","Adams","Colorado",0,FALSE
"690","08007","Archuleta","Colorado",0,FALSE
"691","08009","Baca","Colorado",0,FALSE
"692","08015","Chaffee","Colorado",0,FALSE
"693","08017","Cheyenne","Colorado",0,FALSE
"694","08021","Conejos","Colorado",0,FALSE
"695","08023","Costilla","Colorado",0,FALSE
"696","08029","Delta","Colorado",0,FALSE
"697","08037","Eagle","Colorado",0,FALSE
"698","08043","Fremont","Colorado",0,FALSE
"699","06081","San Mateo","California",0,FALSE
"700","06083","Santa Barbara","California",1,TRUE
"701","06087","Santa Cruz","California",1,TRUE
"702","06095","Solano","California",0,FALSE
"703","06101","Sutter","California",0,FALSE
"704","06103","Tehama","California",0,FALSE
"705","06109","Tuolumne","California",0,FALSE
"706","06009","Calaveras","California",0,FALSE
"707","06013","Contra Costa","California",0,FALSE
"708","06015","Del Norte","California",0,FALSE
"709","13149","Heard","Georgia",0,FALSE
"710","20059","Franklin","Kansas",0,FALSE
"711","06025","Imperial","California",0,FALSE
"712","06029","Kern","California",1,TRUE
"713","06031","Kings","California",1,TRUE
"714","06039","Madera","California",0,FALSE
"715","13067","Cobb","Georgia",0,FALSE
"716","13069","Coffee","Georgia",0,FALSE
"717","13073","Columbia","Georgia",0,FALSE
"718","13077","Coweta","Georgia",0,FALSE
"719","13081","Crisp","Georgia",0,FALSE
"720","13087","Decatur","Georgia",0,FALSE
"721","13093","Dooly","Georgia",0,FALSE
"722","13095","Dougherty","Georgia",0,FALSE
"723","13101","Echols","Georgia",0,FALSE
"724","13103","Effingham","Georgia",0,FALSE
"725","13109","Evans","Georgia",0,FALSE
"726","13115","Floyd","Georgia",0,FALSE
"727","13119","Franklin","Georgia",0,FALSE
"728","08061","Kiowa","Colorado",0,FALSE
"729","08063","Kit Carson","Colorado",0,FALSE
"730","08069","Larimer","Colorado",1,TRUE
"731","12089","Nassau","Florida",0,FALSE
"732","12091","Okaloosa","Florida",0,FALSE
"733","12097","Osceola","Florida",0,FALSE
"734","12099","Palm Beach","Florida",1,TRUE
"735","12101","Pasco","Florida",0,FALSE
"736","12107","Putnam","Florida",0,FALSE
"737","12109","St. Johns","Florida",0,FALSE
"738","12113","Santa Rosa","Florida",0,FALSE
"739","12115","Sarasota","Florida",0,FALSE
"740","12117","Seminole","Florida",0,FALSE
"741","12127","Volusia","Florida",1,TRUE
"742","12131","Walton","Florida",0,FALSE
"743","13003","Atkinson","Georgia",0,FALSE
"744","13005","Bacon","Georgia",0,FALSE
"745","13009","Baldwin","Georgia",0,FALSE
"746","13015","Bartow","Georgia",0,FALSE
"747","13023","Bleckley","Georgia",0,FALSE
"748","13025","Brantley","Georgia",0,FALSE
"749","13031","Bulloch","Georgia",0,FALSE
"750","13037","Calhoun","Georgia",0,FALSE
"751","13049","Charlton","Georgia",0,FALSE
"752","13053","Chattahoochee","Georgia",0,FALSE
"753","13057","Cherokee","Georgia",0,FALSE
"754","13063","Clayton","Georgia",0,FALSE
"755","09013","Tolland","Connecticut",0,FALSE
"756","10005","Sussex","Delaware",0,FALSE
"757","11001","District of Columbia","District of Columbia",4,TRUE
